Variant SKU,Variant metafield value at custom.name,Variant option 1 value
827298808824,WIG HH PIXIE MOHAWK #DVIO,#DEEP VIOLET
827298808817,WIG HH PIXIE MOHAWK #DRRED,#DR RED
827298815464,WIG FW RYAN #DR2/SMGR,#DR2 SMOKE GRAY
846926142628,WIG@ FW SUPER CUTE @W GREY,#WHITE GREY
827298857983,WIG@ LACE AALIYAH @DRFF4/STRGD,#DRFF4/STRAWBERRY GOLD
827298863175,WIG@ HH JOLENE @1B,NATURAL BLACK
827298863182,WIG@ HH JOLENE @2,NATURAL BROWN
827298822646,WIG@ FW TOMMY @DR SMOKE GRAY,#DR SMOKEY GRAY
803868484117,WIG LACE BUTTA 06 #0613,#613
827298877011,WIG@ LACE MYRANDA @DRRDVV,#DR RED VELVET
650270549985,WIGW LACE KAMALA L/U #FF CREAM,#FFCREAM
650270549992,WIGW LACE KAMALA L/U #FF GOLD BROWN,#FFGOLDBRN
650270550004,WIGW LACE KAMALA L/U #FF HOT CHOCO,#FFHOTCHOCO
650270472825,WIGW LACE KAMALA L/U #OT COPPER,#OTCOPPER
650270550042,WIGW LACE MONICA L/U #FF CREAM,#FFCREAM
650270550059,WIGW LACE MONICA L/U #FF GOLD BROWN,#FFGOLDBRN
650270550066,WIGW LACE MONICA L/U #FF HOT CHOCO,#FFHOTCHOCO
650270472863,WIGW LACE MONICA L/U #OT COPPER,#OTCOPPER
803868499425,WIGW LACE BUTTA 14 #BALAYAGE HAZEL,#BALAYAGE HAZELNUT
803868500930,WIGW LACE BUTTA 15 #BALAYAGE HAZEL,#BALAYAGE HAZELNUT
803868500435,WIGW@ LACE VICE UNIT1 @CH27,#CHUNKY HIGHLIGHT 27
803868500442,WIGW@ LACE VICE UNIT1 @CH30,#CHUNKY HIGHLIGHT 30
768538660522,WIG@ FW ALEXA #FS4/2730,#FS4/27/30
768538660553,WIGW@ FW BRIAR @FS4/2730,#FS4/27/30
827298877844,WIG@ FW DELTA @DR COCOA BUTTERCREAM,#DR COCOA BUTTER CREAM
827298886532,WIG@ FW TANNIS @DR COCOA BUTTERCREAM,#DR COCOA BUTTER CREAM
827298904748,WIG@ LACE AVIANNA @UC GINGER GROWN,#UC GINGER BROWN
803868511448,WIG@ HHML LOOSE WAVE 30 @BALAYAGE HAZEL,#BALAYAGE HAZELNUT
