sku,location,shopify_location_id,inventoryItemId,delta_qty_to_add,po_numbers
806993491517,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55715288383798,3,PO-A085
806993491524,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55715288416566,3,PO-A096
806993491524,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288416566,4,PO-A090
806993491524,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55715288416566,3,PO-A086
806993491531,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55715288449334,3,PO-A093
806993491531,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288449334,4,PO-A090
806993491562,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55715288482102,3,PO-A091
806993491586,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55715288514870,3,PO-A082
806993491609,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55715288580406,3,PO-A082
806993491609,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55715288580406,3,PO-A091
806993491609,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55715288580406,3,PO-A083
806993491623,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55715288645942,3,PO-A086
806993491623,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55715288645942,3,PO-A085
806993491630,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55715288678710,3,PO-A088
806993523911,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716694688054,4,PO-A082
806993523911,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716694688054,4,PO-A093
806993523911,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716694688054,4,PO-A088
806993523911,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716694688054,4,PO-A083
806993523928,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716694655286,4,PO-A082
806993523928,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716694655286,4,PO-A094
806993523928,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716694655286,4,PO-A093
806993523928,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716694655286,4,PO-A089
806993523942,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716694622518,4,PO-A082
806993523942,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716694622518,4,PO-A095
806993523942,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716694622518,4,PO-A090
806993523942,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716694622518,4,PO-A085
806993523942,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716694622518,4,PO-A083
806993530254,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288088886,4,PO-A090
806993530254,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55715288088886,3,PO-A083
806993530261,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55715288121654,3,PO-A095
806993530261,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288121654,4,PO-A090
806993530261,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55715288121654,3,PO-A087
806993530261,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55715288121654,3,PO-A085
806993530278,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55715288154422,3,PO-A091
806993530278,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288154422,4,PO-A090
806993530278,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55715288154422,3,PO-A085
806993530285,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55715288187190,3,PO-A093
806993530285,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55715288187190,3,PO-A089
806993530285,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55715288187190,3,PO-A086
806993530315,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55715288318262,3,PO-A093
806993530315,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288318262,3,PO-A090
806993536317,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716694786358,4,PO-A082
806993536317,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716694786358,4,PO-A092
806993536317,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716694786358,4,PO-A089
806993536317,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716694786358,4,PO-A087
806993536324,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716694753590,4,PO-A082
806993536324,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716694753590,4,PO-A096
806993536324,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716694753590,4,PO-A094
806993536324,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716694753590,4,PO-A092
806993536324,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716694753590,4,PO-A090
806993536324,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716694753590,4,PO-A089
806993536324,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716694753590,4,PO-A087
806993536348,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716694720822,4,PO-A096
806993536348,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716694720822,4,PO-A094
806993536348,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716694720822,4,PO-A093
806993536348,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716694720822,4,PO-A092
806993536348,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716694720822,4,PO-A090
806993536348,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716694720822,4,PO-A089
806993536348,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716694720822,4,PO-A087
806993558715,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288711478,3,PO-A090
806993562217,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716623614262,4,PO-A091
806993562217,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716623614262,3,PO-A090
806993562217,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716623614262,3,PO-A087
806993562224,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716623647030,3,PO-A094
806993562224,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716623647030,3,PO-A089
806993562224,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716623647030,3,PO-A088
806993570434,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55715288219958,3,PO-A089
806993570441,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55715288285494,3,PO-A090
806993579499,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716700455222,4,PO-A096
806993579499,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716700455222,4,PO-A090
806993579499,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716700455222,4,PO-A089
806993579499,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716700455222,4,PO-A088
