SKU,Quantity
806993523928,4
806993530285,3
806993536317,4
806993536324,4
806993536348,4
806993562224,3
806993570434,3
806993579499,4
806993579505,4
806993579550,4
806993579598,6
806993579604,6
806993594935,4
806993594959,4
806993594980,4
806993594997,4
806993595017,4
806993599916,3
806993599923,3
806993599954,3
806993600001,3
806993601374,10
806993601404,10
806993601459,10
806993601473,10
806993601534,10
806993601565,10
806993601572,10
806993601619,10
806993607871,3
806993610666,3
806993610772,3
806993618686,4
806993618693,4
806993618723,4
806993618761,4
806993618778,4
806993618808,4
