sku,old_sku,location,shopify_location_id,total_qty_to_restore,po_numbers
806993491517,OLD-806993491517,OTT02,gid://shopify/Location/35316498505,3,PO-A085
806993491524,OLD-806993491524,MTL01,gid://shopify/Location/107681349942,3,PO-A096
806993491524,OLD-806993491524,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993491524,OLD-806993491524,MTL11,gid://shopify/Location/107681972534,3,PO-A086
806993491531,OLD-806993491531,MTL04,gid://shopify/Location/20829700169,3,PO-A093
806993491531,OLD-806993491531,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993491562,OLD-806993491562,MTL06,gid://shopify/Location/107681841462,3,PO-A091
806993491586,OLD-806993491586,EDM01,gid://shopify/Location/105568469302,3,PO-A082
806993491609,OLD-806993491609,EDM01,gid://shopify/Location/105568469302,3,PO-A082
806993491609,OLD-806993491609,MTL06,gid://shopify/Location/107681841462,3,PO-A091
806993491609,OLD-806993491609,QC01,gid://shopify/Location/107682201910,3,PO-A083
806993491623,OLD-806993491623,MTL11,gid://shopify/Location/107681972534,3,PO-A086
806993491623,OLD-806993491623,OTT02,gid://shopify/Location/35316498505,3,PO-A085
806993491630,OLD-806993491630,MTL09,gid://shopify/Location/107681939766,3,PO-A088
806993523911,OLD-806993523911,EDM01,gid://shopify/Location/105568469302,4,PO-A082
806993523911,OLD-806993523911,MTL04,gid://shopify/Location/20829700169,4,PO-A093
806993523911,OLD-806993523911,MTL09,gid://shopify/Location/107681939766,4,PO-A088
806993523911,OLD-806993523911,QC01,gid://shopify/Location/107682201910,4,PO-A083
806993523928,OLD-806993523928,EDM01,gid://shopify/Location/105568469302,4,PO-A082
806993523928,OLD-806993523928,MTL03,gid://shopify/Location/107681448246,4,PO-A094
806993523928,OLD-806993523928,MTL04,gid://shopify/Location/20829700169,4,PO-A093
806993523928,OLD-806993523928,MTL08,gid://shopify/Location/107681874230,4,PO-A089
806993523942,OLD-806993523942,EDM01,gid://shopify/Location/105568469302,4,PO-A082
806993523942,OLD-806993523942,MTL02,gid://shopify/Location/107681382710,4,PO-A095
806993523942,OLD-806993523942,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993523942,OLD-806993523942,OTT02,gid://shopify/Location/35316498505,4,PO-A085
806993523942,OLD-806993523942,QC01,gid://shopify/Location/107682201910,4,PO-A083
806993530254,OLD-806993530254,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993530254,OLD-806993530254,QC01,gid://shopify/Location/107682201910,3,PO-A083
806993530261,OLD-806993530261,MTL02,gid://shopify/Location/107681382710,3,PO-A095
806993530261,OLD-806993530261,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993530261,OLD-806993530261,MTL10,gid://shopify/Location/60899721289,3,PO-A087
806993530261,OLD-806993530261,OTT02,gid://shopify/Location/35316498505,3,PO-A085
806993530278,OLD-806993530278,MTL06,gid://shopify/Location/107681841462,3,PO-A091
806993530278,OLD-806993530278,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993530278,OLD-806993530278,OTT02,gid://shopify/Location/35316498505,3,PO-A085
806993530285,OLD-806993530285,MTL04,gid://shopify/Location/20829700169,3,PO-A093
806993530285,OLD-806993530285,MTL08,gid://shopify/Location/107681874230,3,PO-A089
806993530285,OLD-806993530285,MTL11,gid://shopify/Location/107681972534,3,PO-A086
806993530315,OLD-806993530315,MTL04,gid://shopify/Location/20829700169,3,PO-A093
806993530315,OLD-806993530315,MTL07,gid://shopify/Location/35316531273,3,PO-A090
806993536317,OLD-806993536317,EDM01,gid://shopify/Location/105568469302,4,PO-A082
806993536317,OLD-806993536317,MTL05,gid://shopify/Location/107681481014,4,PO-A092
806993536317,OLD-806993536317,MTL08,gid://shopify/Location/107681874230,4,PO-A089
806993536317,OLD-806993536317,MTL10,gid://shopify/Location/60899721289,4,PO-A087
806993536324,OLD-806993536324,EDM01,gid://shopify/Location/105568469302,4,PO-A082
806993536324,OLD-806993536324,MTL01,gid://shopify/Location/107681349942,4,PO-A096
806993536324,OLD-806993536324,MTL03,gid://shopify/Location/107681448246,4,PO-A094
806993536324,OLD-806993536324,MTL05,gid://shopify/Location/107681481014,4,PO-A092
806993536324,OLD-806993536324,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993536324,OLD-806993536324,MTL08,gid://shopify/Location/107681874230,4,PO-A089
806993536324,OLD-806993536324,MTL10,gid://shopify/Location/60899721289,4,PO-A087
806993536348,OLD-806993536348,MTL01,gid://shopify/Location/107681349942,4,PO-A096
806993536348,OLD-806993536348,MTL03,gid://shopify/Location/107681448246,4,PO-A094
806993536348,OLD-806993536348,MTL04,gid://shopify/Location/20829700169,4,PO-A093
806993536348,OLD-806993536348,MTL05,gid://shopify/Location/107681481014,4,PO-A092
806993536348,OLD-806993536348,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993536348,OLD-806993536348,MTL08,gid://shopify/Location/107681874230,4,PO-A089
806993536348,OLD-806993536348,MTL10,gid://shopify/Location/60899721289,4,PO-A087
806993558715,OLD-806993558715,MTL07,gid://shopify/Location/35316531273,3,PO-A090
806993562217,OLD-806993562217,MTL06,gid://shopify/Location/107681841462,4,PO-A091
806993562217,OLD-806993562217,MTL07,gid://shopify/Location/35316531273,3,PO-A090
806993562217,OLD-806993562217,MTL10,gid://shopify/Location/60899721289,3,PO-A087
806993562224,OLD-806993562224,MTL03,gid://shopify/Location/107681448246,3,PO-A094
806993562224,OLD-806993562224,MTL08,gid://shopify/Location/107681874230,3,PO-A089
806993562224,OLD-806993562224,MTL09,gid://shopify/Location/107681939766,3,PO-A088
806993570434,OLD-806993570434,MTL08,gid://shopify/Location/107681874230,3,PO-A089
806993570441,OLD-806993570441,MTL07,gid://shopify/Location/35316531273,3,PO-A090
806993579499,OLD-806993579499,MTL01,gid://shopify/Location/107681349942,4,PO-A096
806993579499,OLD-806993579499,MTL07,gid://shopify/Location/35316531273,4,PO-A090
806993579499,OLD-806993579499,MTL08,gid://shopify/Location/107681874230,4,PO-A089
